Verð fjölbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember árið 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð fjölbýlis í þúsundum króna,Meðaltals staðgreiðsluverð fjölbýlis í þúsundum króna,Kaupverð fjölbýlis á fermeter (krónur),Staðgreiðsluverð fjölbýlis á fermeter (krónur)
1990.0,8.0,200.0,89.0,5642.0,5047.0,64864.0,57869.0
1990.0,7.0,195.0,89.0,5777.0,5162.0,66679.0,59217.0
1990.0,6.0,171.0,99.0,6321.0,5741.0,66072.0,59621.0
1990.0,5.0,188.0,86.0,5405.0,4818.0,65107.0,58032.0
1990.0,4.0,143.0,88.0,5540.0,4915.0,65337.0,57649.0
1990.0,3.0,195.0,89.0,5495.0,4864.0,63752.0,56147.0
1990.0,2.0,193.0,89.0,5540.0,4939.0,65031.0,57494.0
1990.0,1.0,154.0,93.0,5762.0,5109.0,64343.0,56582.0
1989.0,12.0,141.0,94.0,5872.0,5269.0,62397.0,55690.0
1989.0,11.0,232.0,89.0,5017.0,4477.0,60677.0,54125.0
1989.0,10.0,209.0,89.0,5243.0,4670.0,60525.0,53647.0
1989.0,9.0,167.0,86.0,5135.0,4892.0,61303.0,58073.0
1989.0,8.0,168.0,85.0,4974.0,4738.0,59952.0,56683.0
1989.0,7.0,129.0,85.0,4974.0,4736.0,60302.0,56945.0
1989.0,6.0,177.0,85.0,4870.0,4632.0,58668.0,55586.0
1989.0,5.0,204.0,86.0,4980.0,4760.0,59631.0,56644.0
1989.0,4.0,158.0,81.0,4694.0,4414.0,59550.0,55819.0
1989.0,3.0,184.0,87.0,4701.0,4433.0,55666.0,52346.0
1989.0,2.0,172.0,84.0,4680.0,4345.0,56605.0,52329.0
1989.0,1.0,126.0,85.0,4371.0,4104.0,53160.0,49636.0
1988.0,12.0,99.0,86.0,4570.0,4314.0,54671.0,51451.0
1988.0,11.0,114.0,84.0,4485.0,4256.0,55043.0,51956.0
1988.0,10.0,127.0,84.0,4316.0,4153.0,53168.0,50986.0
1988.0,9.0,105.0,81.0,4171.0,3965.0,52738.0,50024.0
1988.0,8.0,124.0,85.0,4273.0,4126.0,51420.0,49407.0
1988.0,7.0,113.0,85.0,4163.0,3945.0,50821.0,47888.0
1988.0,6.0,124.0,88.0,4513.0,4293.0,51984.0,49210.0
1988.0,5.0,123.0,85.0,4119.0,3906.0,50274.0,47415.0
1988.0,4.0,104.0,92.0,4298.0,4109.0,47991.0,45651.0
1988.0,3.0,185.0,82.0,3858.0,3699.0,48215.0,46025.0
