Unnið 25/02/2015,Íbúðaverð í fjölbýli - ársmeðaltöl,,,,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.,,,
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²),,,
"Innan Hringbrautar og Snorrrabrautar, Reykjavík",,,,,,,,,
,,,,,,,,,
2002.0,138.0,93.0,10017.0,9253.0,111821.0,103424.0,,,
2003.0,168.0,90.0,10167.0,10014.0,118254.0,116529.0,,,
2004.0,180.0,92.0,11593.0,11532.0,132000.0,131284.0,,,
2005.0,145.0,88.0,14488.0,14431.0,169946.0,169349.0,,,
2006.0,112.0,87.0,15919.0,15776.0,190187.0,188547.0,,,
2007.0,158.0,88.0,18249.0,17950.0,215086.0,211836.0,,,
2008.0,36.0,90.0,19626.0,18934.0,227333.0,219559.0,,,
2009.0,26.0,96.0,19743.0,18994.0,207311.0,199276.0,,,
2010.0,29.0,92.0,17639.0,17179.0,196079.0,191697.0,,,
2011.0,63.0,91.0,16890.0,16376.0,193376.0,187513.0,,,
2012.0,80.0,92.0,17970.0,17533.0,203286.0,198514.0,,,
2013.0,92.0,100.0,19471.0,19075.0,208747.0,204112.0,,,
2014.0,93.0,93.0,21589.0,21273.0,242402.0,239057.0,,,
,,,,,,,,,
"Sel, Reykjavík",,,,,,,,,
,,,,,,,,,
1990.0,109.0,105.0,6095.0,5413.0,60168.0,53226.0,,,
1991.0,95.0,111.0,6783.0,5824.0,63294.0,54315.0,,,
1992.0,57.0,107.0,7043.0,6189.0,68697.0,60255.0,,,
1993.0,72.0,113.0,7096.0,6410.0,64957.0,58586.0,,,
1994.0,90.0,111.0,7031.0,6609.0,67315.0,63378.0,,,
1995.0,86.0,118.0,6802.0,6193.0,65305.0,59483.0,,,
1996.0,82.0,115.0,6998.0,6475.0,63178.0,58443.0,,,
1997.0,106.0,110.0,6657.0,6234.0,63149.0,59182.0,,,
1998.0,127.0,115.0,7093.0,6892.0,64701.0,62934.0,,,
1999.0,196.0,115.0,7775.0,7727.0,71162.0,70763.0,,,
2000.0,109.0,109.0,9626.0,9033.0,92797.0,87112.0,,,
2001.0,121.0,114.0,10891.0,10109.0,100179.0,92825.0,,,
2002.0,136.0,110.0,11188.0,10320.0,106912.0,98685.0,,,
2003.0,145.0,104.0,11482.0,11286.0,115057.0,113056.0,,,
2004.0,193.0,111.0,13484.0,13386.0,126495.0,125769.0,,,
2005.0,183.0,110.0,17802.0,17657.0,165655.0,164495.0,,,
2006.0,124.0,105.0,18308.0,18081.0,181088.0,179060.0,,,
2007.0,133.0,108.0,20848.0,20336.0,200080.0,194826.0,,,
2008.0,47.0,103.0,21135.0,20214.0,211321.0,202664.0,,,
2009.0,25.0,129.0,24235.0,22926.0,193742.0,183035.0,,,
2010.0,26.0,102.0,19413.0,18495.0,194538.0,185011.0,,,
2011.0,42.0,111.0,19166.0,18704.0,181584.0,177182.0,,,
2012.0,73.0,110.0,20488.0,19641.0,191970.0,184281.0,,,
2013.0,84.0,110.0,22319.0,21895.0,212863.0,208996.0,,,
2014.0,88.0,109.0,24461.0,24034.0,232417.0,228409.0,,,
,,,,,,,,,
"Hraunbær, Reykjavík",,,,,,,,,
,,,,,,,,,
1990.0,95.0,83.0,5304.0,4650.0,65672.0,57466.0,,,
1991.0,89.0,78.0,5655.0,4878.0,74213.0,64144.0,,,
1992.0,64.0,82.0,6173.0,5406.0,77119.0,67361.0,,,
1993.0,56.0,81.0,6317.0,5716.0,80133.0,72453.0,,,
1994.0,85.0,79.0,5974.0,5650.0,77462.0,73286.0,,,
1995.0,89.0,79.0,5978.0,5510.0,77512.0,71367.0,,,
1996.0,92.0,77.0,5897.0,5443.0,77861.0,72015.0,,,
1997.0,93.0,80.0,5797.0,5435.0,74553.0,70065.0,,,
1998.0,133.0,82.0,5960.0,5783.0,74527.0,72346.0,,,
1999.0,166.0,87.0,7596.0,7539.0,85808.0,85273.0,,,
2000.0,97.0,80.0,8595.0,8114.0,110162.0,104307.0,,,
2001.0,101.0,83.0,9411.0,8678.0,116068.0,106954.0,,,
2002.0,87.0,90.0,10247.0,9519.0,116893.0,108676.0,,,
2003.0,116.0,82.0,10363.0,10195.0,131000.0,128849.0,,,
2004.0,124.0,84.0,11713.0,11659.0,141742.0,141143.0,,,
2005.0,112.0,86.0,15149.0,15081.0,181152.0,180467.0,,,
2006.0,92.0,91.0,17260.0,17012.0,194852.0,191943.0,,,
2007.0,105.0,87.0,19216.0,18917.0,228985.0,225494.0,,,
2008.0,38.0,79.0,18546.0,17757.0,246780.0,237403.0,,,
2009.0,15.0,81.0,17634.0,17044.0,225588.0,218921.0,,,
2010.0,35.0,87.0,17317.0,16791.0,203123.0,196973.0,,,
2011.0,45.0,89.0,17898.0,17463.0,208048.0,203380.0,,,
2012.0,52.0,85.0,18310.0,17941.0,219772.0,214410.0,,,
2013.0,67.0,87.0,19965.0,19355.0,237283.0,230121.0,,,
2014.0,75.0,83.0,21855.0,21542.0,270112.0,266343.0,,,
,,,,,,,,,
"Hús, Reykjavík",,,,,,,,,
,,,,,,,,,
1991.0,4.0,101.0,7829.0,6328.0,80171.0,64008.0,,,
1992.0,5.0,88.0,7310.0,6094.0,84718.0,69922.0,,,
1993.0,12.0,87.0,7315.0,6452.0,88668.0,77973.0,,,
1994.0,23.0,105.0,8042.0,7498.0,80579.0,75305.0,,,
1995.0,17.0,107.0,7871.0,7149.0,80115.0,72685.0,,,
1996.0,23.0,124.0,8458.0,7750.0,74273.0,67505.0,,,
1997.0,30.0,95.0,7573.0,6932.0,85239.0,77436.0,,,
1998.0,29.0,116.0,8545.0,8221.0,78449.0,74904.0,,,
1999.0,48.0,114.0,9450.0,9348.0,86930.0,85967.0,,,
2000.0,44.0,107.0,10883.0,10279.0,105303.0,99089.0,,,
2001.0,28.0,91.0,10664.0,9782.0,121081.0,110687.0,,,
2002.0,46.0,119.0,12891.0,11874.0,112906.0,103856.0,,,
2003.0,43.0,102.0,12693.0,12407.0,128517.0,125633.0,,,
2004.0,60.0,119.0,15208.0,15117.0,133653.0,132788.0,,,
2005.0,51.0,103.0,18163.0,18063.0,183715.0,182846.0,,,
