Unnið 26/02/2015,Íbúðaverð í sérbýli - ársmeðaltöl,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
Miðbær Reykjavíkur - norðan Hringbrautar og vestan Snorrabrautar,,,,,,
,,,,,,
2007.0,50.0,179.0,50482.0,49041.0,285571.0,277374.0
2008.0,15.0,200.0,63723.0,60634.0,317833.0,302578.0
2009.0,22.0,201.0,52780.0,50033.0,264085.0,250434.0
2010.0,26.0,191.0,45592.0,43685.0,238829.0,229681.0
2011.0,48.0,198.0,49405.0,48000.0,252218.0,244984.0
2012.0,28.0,195.0,52141.0,51062.0,268592.0,263253.0
2013.0,37.0,207.0,55362.0,54077.0,271024.0,265120.0
2014.0,53.0,192.0,54358.0,53141.0,287788.0,281956.0
,,,,,,
"Vatnsendahæð (Kórar,Hvörf,Þing), Kópavogur",,,,,,
,,,,,,
2000.0,6.0,151.0,17037.0,16478.0,113479.0,109815.0
2003.0,4.0,216.0,25920.0,25820.0,127146.0,126186.0
2004.0,10.0,210.0,30310.0,29882.0,149220.0,146692.0
2005.0,14.0,181.0,37879.0,37277.0,204272.0,201019.0
2006.0,6.0,210.0,50833.0,49240.0,246488.0,238910.0
2007.0,31.0,224.0,58648.0,56907.0,263506.0,256090.0
2009.0,7.0,205.0,52974.0,50015.0,264745.0,250025.0
2010.0,7.0,246.0,65671.0,63444.0,260557.0,252863.0
2011.0,23.0,253.0,59678.0,57694.0,236976.0,229045.0
2012.0,19.0,267.0,65547.0,64474.0,241148.0,237252.0
2013.0,23.0,238.0,60591.0,59353.0,259485.0,254420.0
2014.0,30.0,252.0,66187.0,64967.0,266754.0,261826.0
,,,,,,
"Norðan Kópavogslækjar (Ekki Lindir, Smárar, Salir, Vatnsendahæð, Lundur), Kópavogur",,,,,,
,,,,,,
1990.0,48.0,193.0,10787.0,9772.0,56760.0,51339.0
1991.0,43.0,180.0,10782.0,9487.0,61552.0,54266.0
1992.0,29.0,182.0,11676.0,10617.0,65741.0,59588.0
1993.0,21.0,172.0,10314.0,9402.0,61102.0,55381.0
1994.0,60.0,192.0,11978.0,11260.0,63806.0,60028.0
1995.0,79.0,193.0,11235.0,10402.0,59609.0,55169.0
1996.0,78.0,198.0,11461.0,10672.0,60832.0,56613.0
1997.0,112.0,201.0,12145.0,11327.0,62475.0,58397.0
1998.0,116.0,209.0,12858.0,12456.0,63885.0,62141.0
1999.0,113.0,195.0,14545.0,14396.0,76853.0,76044.0
2000.0,82.0,197.0,17845.0,16985.0,94025.0,89444.0
2001.0,85.0,200.0,19384.0,18082.0,100393.0,93540.0
2002.0,89.0,197.0,20095.0,19005.0,104742.0,98938.0
2003.0,125.0,208.0,23091.0,22645.0,112041.0,109630.0
2004.0,110.0,206.0,25368.0,24990.0,126283.0,124607.0
2005.0,100.0,191.0,34259.0,33685.0,182810.0,179886.0
2006.0,79.0,196.0,39356.0,38421.0,204673.0,199783.0
2007.0,95.0,208.0,46833.0,45351.0,231331.0,224441.0
2008.0,28.0,177.0,44842.0,42446.0,256843.0,243310.0
2009.0,22.0,198.0,47741.0,45193.0,239711.0,227185.0
2010.0,40.0,209.0,42339.0,40662.0,203229.0,195481.0
2011.0,69.0,193.0,38791.0,38115.0,206431.0,202686.0
2012.0,79.0,201.0,43111.0,42024.0,220579.0,215156.0
2013.0,91.0,205.0,46169.0,45398.0,232016.0,228250.0
2014.0,94.0,206.0,46434.0,45723.0,232020.0,228353.0
,,,,,,
"Arnarnes, Garðabær",,,,,,
,,,,,,
1995.0,3.0,368.0,20733.0,16152.0,60015.0,41933.0
1996.0,4.0,298.0,17125.0,15887.0,57342.0,53107.0
1997.0,9.0,325.0,20539.0,19913.0,64746.0,62618.0
1998.0,6.0,307.0,19225.0,18479.0,63769.0,61466.0
1999.0,11.0,332.0,25109.0,24583.0,78892.0,77143.0
2000.0,7.0,286.0,29186.0,28142.0,104212.0,100744.0
2001.0,8.0,288.0,26025.0,25196.0,97786.0,93355.0
2002.0,9.0,321.0,31850.0,30219.0,98612.0,93475.0
2003.0,13.0,275.0,29823.0,28898.0,114385.0,110562.0
2004.0,18.0,274.0,38955.0,38045.0,145893.0,142776.0
2005.0,7.0,311.0,57071.0,55359.0,193192.0,187442.0
2006.0,10.0,344.0,84300.0,82113.0,243703.0,238332.0
2008.0,4.0,284.0,75000.0,69462.0,264777.0,245334.0
2010.0,3.0,265.0,73167.0,70601.0,274873.0,265610.0
2011.0,6.0,320.0,68733.0,66741.0,222278.0,216658.0
2012.0,8.0,336.0,91775.0,89904.0,267601.0,262051.0
2013.0,4.0,314.0,104625.0,102721.0,331689.0,325347.0
2014.0,10.0,315.0,90723.0,88728.0,292815.0,286501.0
,,,,,,
"Garðabær, (Ekki Arnarnes)",,,,,,
,,,,,,
1990.0,56.0,190.0,11763.0,10633.0,62953.0,56795.0
1991.0,43.0,182.0,12648.0,11125.0,71825.0,63019.0
1992.0,36.0,196.0,13464.0,12195.0,70057.0,63265.0
1993.0,43.0,198.0,12660.0,11563.0,66297.0,60404.0
1994.0,68.0,189.0,12342.0,11594.0,69507.0,65268.0
1995.0,89.0,186.0,12162.0,11108.0,69255.0,63266.0
1996.0,116.0,200.0,12874.0,12040.0,68428.0,64043.0
1997.0,94.0,194.0,12985.0,12110.0,71029.0,66115.0
1998.0,117.0,189.0,13383.0,12972.0,74040.0,71589.0
1999.0,89.0,191.0,15392.0,15225.0,84000.0,83079.0
2000.0,98.0,189.0,17820.0,16985.0,99236.0,94656.0
2001.0,107.0,192.0,19769.0,18519.0,106934.0,100143.0
2002.0,127.0,186.0,20163.0,18890.0,111785.0,104791.0
2003.0,142.0,190.0,21287.0,20846.0,116491.0,114196.0
2004.0,186.0,190.0,26026.0,25646.0,142292.0,140336.0
2005.0,143.0,178.0,34940.0,34364.0,200596.0,197333.0
2006.0,111.0,187.0,42843.0,41699.0,233320.0,227031.0
2007.0,151.0,195.0,49857.0,48289.0,258369.0,250696.0
2008.0,64.0,183.0,50475.0,48161.0,279284.0,266795.0
2009.0,54.0,203.0,53871.0,50886.0,261805.0,247697.0
2010.0,57.0,201.0,46285.0,44597.0,231497.0,222799.0
2011.0,96.0,206.0,51918.0,50779.0,249367.0,244043.0
2012.0,113.0,192.0,48844.0,47687.0,257280.0,251202.0
2013.0,119.0,200.0,52061.0,50808.0,262667.0,256221.0
2014.0,127.0,195.0,53486.0,52387.0,279287.0,273714.0
,,,,,,
Hafnarfjörður,,,,,,
,,,,,,
1990.0,31.0,187.0,10512.0,9497.0,56086.0,50448.0
1991.0,33.0,192.0,11943.0,10683.0,64605.0,57414.0
1992.0,30.0,180.0,11434.0,10446.0,64341.0,58391.0
1993.0,52.0,176.0,10820.0,9842.0,62645.0,56977.0
1994.0,81.0,184.0,11561.0,10904.0,64884.0,61248.0
1995.0,101.0,183.0,11343.0,10479.0,63310.0,58604.0
1996.0,106.0,185.0,11550.0,10694.0,65000.0,60135.0
1997.0,94.0,188.0,11730.0,10959.0,64988.0,60748.0
1998.0,149.0,193.0,12479.0,12067.0,66140.0,63997.0
1999.0,127.0,188.0,14159.0,13975.0,80530.0,79565.0
2000.0,119.0,189.0,16678.0,15844.0,90420.0,85785.0
2001.0,134.0,188.0,18254.0,17029.0,99470.0,92719.0
2002.0,137.0,186.0,18685.0,17500.0,103130.0,96473.0
2003.0,195.0,201.0,20441.0,20101.0,105506.0,103771.0
2004.0,180.0,188.0,23219.0,22922.0,127036.0,125523.0
2005.0,153.0,188.0,33129.0,32502.0,180998.0,177837.0
2006.0,112.0,199.0,39971.0,39005.0,207066.0,202241.0
2007.0,172.0,187.0,42127.0,40860.0,229178.0,222315.0
2008.0,61.0,187.0,45814.0,43419.0,246916.0,234374.0
2009.0,37.0,191.0,41950.0,39321.0,220428.0,207186.0
2010.0,60.0,202.0,42651.0,40704.0,211649.0,201953.0
2011.0,75.0,187.0,40013.0,38831.0,215357.0,209345.0
2012.0,100.0,198.0,41980.0,40864.0,216258.0,210569.0
2013.0,138.0,203.0,43514.0,42642.0,221145.0,216615.0
2014.0,153.0,201.0,44549.0,43845.0,227805.0,224141.0
,,,,,,
Seltjarnarnes,,,,,,
,,,,,,
1990.0,11.0,218.0,14380.0,13049.0,66355.0,60189.0
1991.0,9.0,203.0,14300.0,12565.0,71009.0,62408.0
1992.0,17.0,194.0,14812.0,13422.0,81424.0,73848.0
1993.0,12.0,207.0,14729.0,13590.0,71700.0,65950.0
1994.0,21.0,216.0,15567.0,14402.0,72451.0,67140.0
1995.0,27.0,213.0,15239.0,14049.0,72589.0,66864.0
1996.0,25.0,209.0,14226.0,13344.0,69487.0,65091.0
1997.0,37.0,228.0,14693.0,13768.0,65821.0,61631.0
1998.0,36.0,221.0,16415.0,15864.0,83451.0,80553.0
1999.0,38.0,212.0,19041.0,18666.0,90614.0,88771.0
2000.0,24.0,221.0,23571.0,22428.0,108803.0,103530.0
2001.0,34.0,206.0,24289.0,22953.0,118933.0,112210.0
2002.0,30.0,202.0,22918.0,21680.0,114053.0,108036.0
2003.0,31.0,214.0,29006.0,28038.0,136164.0,131781.0
2004.0,29.0,223.0,36046.0,35428.0,162054.0,159537.0
2005.0,31.0,214.0,52011.0,50706.0,243861.0,237888.0
2006.0,34.0,225.0,60794.0,58690.0,270516.0,261684.0
2007.0,25.0,209.0,64280.0,62156.0,314985.0,304730.0
2008.0,7.0,216.0,84357.0,80595.0,373502.0,359015.0
2009.0,4.0,228.0,65250.0,63993.0,284000.0,277925.0
2010.0,8.0,203.0,53656.0,51878.0,263265.0,253822.0
2011.0,24.0,232.0,63008.0,61768.0,271723.0,266167.0
2012.0,27.0,226.0,62819.0,61717.0,280722.0,275704.0
2013.0,29.0,212.0,62917.0,61440.0,295361.0,288947.0
2014.0,33.0,217.0,66528.0,65465.0,311180.0,305791.0
,,,,,,
Mosfellsbær,,,,,,
,,,,,,
1990.0,24.0,154.0,8694.0,7797.0,63054.0,56374.0
1991.0,34.0,151.0,10138.0,8797.0,72424.0,62442.0
1992.0,37.0,140.0,9779.0,8685.0,74593.0,66138.0
1993.0,36.0,128.0,9098.0,8085.0,77553.0,68900.0
1994.0,50.0,172.0,11100.0,10362.0,71047.0,66577.0
1995.0,58.0,154.0,9896.0,9134.0,69942.0,64479.0
1996.0,64.0,156.0,10129.0,9380.0,69793.0,64493.0
1997.0,96.0,161.0,10103.0,9482.0,69012.0,64635.0
1998.0,99.0,159.0,10655.0,10397.0,71975.0,70087.0
1999.0,123.0,169.0,12550.0,12464.0,80045.0,79474.0
2000.0,74.0,170.0,14771.0,13958.0,93112.0,87650.0
2001.0,100.0,159.0,16110.0,15074.0,107954.0,100881.0
2002.0,75.0,171.0,17102.0,15992.0,107330.0,100198.0
2003.0,92.0,164.0,18398.0,17996.0,118467.0,116075.0
2004.0,124.0,171.0,21068.0,20841.0,132199.0,130865.0
2005.0,109.0,172.0,30014.0,29623.0,184176.0,181973.0
2006.0,80.0,160.0,34602.0,33784.0,223791.0,218543.0
2007.0,104.0,178.0,39384.0,38072.0,233661.0,226287.0
2008.0,40.0,185.0,42648.0,41076.0,239472.0,231220.0
2009.0,40.0,206.0,43849.0,40890.0,223048.0,209480.0
2010.0,31.0,174.0,35803.0,34294.0,213965.0,204708.0
2011.0,55.0,198.0,39186.0,38355.0,203412.0,199284.0
2012.0,62.0,211.0,41637.0,40381.0,220511.0,214157.0
2013.0,74.0,191.0,42416.0,41526.0,231630.0,226589.0
2014.0,76.0,181.0,43386.0,42570.0,253249.0,248282.0
