Verð sérbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð sérbýlis í þúsundum króna,Meðaltals staðgreiðsluverð sérbýlis í þúsundum króna,Kaupverð sérbýlis á fermeter (krónur),Staðgreiðsluverð sérbýlis á fermeter (krónur)
1996.0,5.0,56.0,193.0,12027.0,11170.0,64378.0,59834.0
1996.0,4.0,62.0,201.0,12181.0,11273.0,63255.0,58534.0
1996.0,3.0,73.0,183.0,11315.0,10560.0,64666.0,60347.0
1996.0,2.0,43.0,192.0,11587.0,10815.0,64021.0,59664.0
1996.0,1.0,30.0,171.0,10971.0,10072.0,67267.0,62011.0
1995.0,12.0,41.0,207.0,12252.0,11241.0,61099.0,56119.0
1995.0,11.0,65.0,196.0,11970.0,11101.0,64397.0,59682.0
1995.0,10.0,63.0,176.0,11488.0,10604.0,68051.0,62763.0
1995.0,9.0,50.0,194.0,12500.0,11597.0,65906.0,61069.0
1995.0,8.0,72.0,185.0,11992.0,11022.0,67361.0,61983.0
1995.0,7.0,51.0,192.0,12300.0,11122.0,66231.0,60019.0
1995.0,6.0,70.0,189.0,11999.0,11033.0,66191.0,60736.0
1995.0,5.0,74.0,187.0,11683.0,10823.0,63691.0,59036.0
1995.0,4.0,43.0,197.0,12705.0,11728.0,66125.0,61094.0
1995.0,3.0,62.0,189.0,11792.0,10869.0,66437.0,61352.0
1995.0,2.0,45.0,208.0,12340.0,11377.0,61634.0,56767.0
1995.0,1.0,41.0,198.0,12273.0,11336.0,66140.0,61264.0
1994.0,12.0,53.0,189.0,11901.0,11118.0,63782.0,59534.0
1994.0,11.0,69.0,178.0,11456.0,10737.0,66325.0,62220.0
1994.0,10.0,21.0,168.0,10664.0,10186.0,64918.0,62234.0
1994.0,9.0,35.0,202.0,12351.0,11569.0,62666.0,58768.0
1994.0,8.0,59.0,191.0,11996.0,11316.0,65323.0,61756.0
1994.0,7.0,56.0,198.0,12438.0,11633.0,65914.0,61742.0
1994.0,6.0,50.0,197.0,12880.0,12042.0,68553.0,64330.0
1994.0,5.0,44.0,178.0,11436.0,10681.0,67101.0,62951.0
1994.0,4.0,42.0,193.0,12111.0,11308.0,66024.0,61946.0
1994.0,3.0,68.0,218.0,12857.0,12162.0,63526.0,60001.0
1994.0,2.0,40.0,197.0,11071.0,10656.0,58490.0,57025.0
1994.0,1.0,31.0,178.0,12192.0,11385.0,69896.0,65192.0
1993.0,12.0,35.0,199.0,12189.0,11343.0,66951.0,61998.0
1993.0,11.0,40.0,183.0,11691.0,10943.0,64939.0,60867.0
