Verð Íbúðarhúsnæðis á höfuðborgarsvæðinu. Frá janúar árið 1981 til og með desember árið 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð íbúða í þúsundum króna,Meðaltals staðgreiðsluverð íbúða í þúsundum króna,Kaupverð á fermeter (krónur),Staðgreiðsluverð á fermeter (krónur)
1992.0,4.0,186.0,113.0,8060.0,7158.0,75504.0,66829.0
1992.0,3.0,232.0,99.0,7345.0,6480.0,77117.0,67721.0
1992.0,2.0,176.0,91.0,6664.0,5822.0,75211.0,65655.0
1992.0,1.0,109.0,96.0,6764.0,5820.0,75125.0,64263.0
1991.0,12.0,159.0,102.0,7258.0,6264.0,75041.0,64579.0
1991.0,11.0,252.0,103.0,7415.0,6380.0,75730.0,64959.0
1991.0,10.0,233.0,102.0,7357.0,6300.0,74545.0,63573.0
1991.0,9.0,226.0,104.0,7225.0,6212.0,73300.0,62858.0
1991.0,8.0,196.0,96.0,6752.0,5816.0,73107.0,62869.0
1991.0,7.0,296.0,100.0,7112.0,6264.0,73083.0,64187.0
1991.0,6.0,150.0,101.0,7086.0,6191.0,74355.0,64186.0
1991.0,5.0,241.0,105.0,7287.0,6328.0,72516.0,62625.0
1991.0,4.0,210.0,107.0,7434.0,6469.0,72458.0,62607.0
1991.0,3.0,276.0,110.0,7305.0,6428.0,69446.0,60764.0
1991.0,2.0,160.0,103.0,6988.0,6137.0,70593.0,61474.0
1991.0,1.0,196.0,102.0,6889.0,6105.0,70930.0,62661.0
1990.0,12.0,201.0,109.0,6914.0,6139.0,66382.0,58547.0
1990.0,11.0,269.0,104.0,6845.0,6064.0,68391.0,60463.0
1990.0,10.0,313.0,103.0,6757.0,5989.0,68098.0,60173.0
1990.0,9.0,249.0,103.0,6670.0,5936.0,67913.0,60155.0
1990.0,8.0,228.0,101.0,6344.0,5682.0,64364.0,57474.0
1990.0,7.0,222.0,103.0,6470.0,5810.0,65503.0,58328.0
1990.0,6.0,192.0,108.0,6786.0,6180.0,65470.0,59210.0
1990.0,5.0,217.0,99.0,6077.0,5454.0,64285.0,57503.0
1990.0,4.0,161.0,100.0,6166.0,5511.0,64440.0,57093.0
1990.0,3.0,217.0,99.0,6064.0,5396.0,63522.0,56090.0
1990.0,2.0,231.0,106.0,6404.0,5723.0,63765.0,56481.0
1990.0,1.0,167.0,101.0,6196.0,5526.0,63819.0,56289.0
1989.0,12.0,162.0,105.0,6315.0,5704.0,61293.0,54881.0
1989.0,11.0,268.0,99.0,5589.0,5007.0,60268.0,53854.0
1989.0,10.0,233.0,97.0,5610.0,5016.0,59934.0,53266.0
1989.0,9.0,179.0,93.0,5395.0,5151.0,60386.0,57289.0
1989.0,8.0,185.0,93.0,5352.0,5124.0,59483.0,56424.0
1989.0,7.0,137.0,90.0,5119.0,4890.0,59499.0,56326.0
1989.0,6.0,202.0,96.0,5375.0,5124.0,58042.0,55083.0
1989.0,5.0,229.0,95.0,5427.0,5201.0,59168.0,56303.0
1989.0,4.0,175.0,90.0,5037.0,4752.0,58414.0,54838.0
1989.0,3.0,201.0,92.0,4993.0,4717.0,55635.0,52363.0
1989.0,2.0,186.0,93.0,4973.0,4626.0,55764.0,51608.0
1989.0,1.0,138.0,91.0,4600.0,4328.0,52816.0,49343.0
1988.0,12.0,109.0,95.0,4964.0,4713.0,54187.0,51145.0
1988.0,11.0,129.0,96.0,4929.0,4706.0,54217.0,51291.0
1988.0,10.0,139.0,92.0,4645.0,4493.0,52594.0,50570.0
1988.0,9.0,118.0,88.0,4454.0,4255.0,52016.0,49480.0
1988.0,8.0,136.0,91.0,4457.0,4306.0,50763.0,48778.0
1988.0,7.0,130.0,97.0,4670.0,4455.0,49993.0,47310.0
1988.0,6.0,138.0,100.0,4973.0,4754.0,51160.0,48559.0
1988.0,5.0,151.0,101.0,4727.0,4498.0,48966.0,46309.0
1988.0,4.0,123.0,103.0,4687.0,4489.0,47116.0,44908.0
1988.0,3.0,211.0,93.0,4222.0,4051.0,47410.0,45230.0
1988.0,2.0,180.0,98.0,4422.0,4208.0,47587.0,44894.0
1988.0,1.0,132.0,84.0,3710.0,3545.0,46407.0,44156.0
1987.0,12.0,100.0,88.0,3717.0,3544.0,43533.0,41278.0
1987.0,11.0,184.0,91.0,3836.0,3678.0,43747.0,41746.0
1987.0,10.0,214.0,89.0,3533.0,3373.0,41036.0,38991.0
1987.0,9.0,233.0,93.0,3526.0,3421.0,39650.0,38345.0
1987.0,8.0,200.0,96.0,3518.0,3411.0,37732.0,36362.0
1987.0,7.0,271.0,92.0,3325.0,3209.0,36965.0,35506.0
1987.0,6.0,169.0,88.0,3084.0,2969.0,36071.0,34607.0
1987.0,5.0,183.0,95.0,3249.0,3110.0,35372.0,33771.0
1987.0,4.0,195.0,96.0,3247.0,3092.0,35073.0,33380.0
1987.0,3.0,280.0,95.0,3116.0,2980.0,33695.0,32214.0
1987.0,2.0,275.0,99.0,3167.0,3021.0,33008.0,31402.0
1987.0,1.0,150.0,90.0,2718.0,2566.0,30884.0,29143.0
1986.0,12.0,89.0,108.0,3157.0,2989.0,29861.0,28225.0
1986.0,11.0,122.0,95.0,2798.0,2631.0,30423.0,28517.0
1986.0,10.0,184.0,99.0,2848.0,2702.0,29514.0,27990.0
1986.0,9.0,252.0,91.0,2574.0,2378.0,29035.0,26803.0
1986.0,8.0,230.0,100.0,2603.0,2391.0,27183.0,24972.0
1986.0,7.0,290.0,95.0,2490.0,2285.0,27071.0,24844.0
1986.0,6.0,268.0,97.0,2507.0,2278.0,26716.0,24273.0
1986.0,5.0,272.0,96.0,2403.0,2185.0,25783.0,23437.0
1986.0,4.0,188.0,97.0,2411.0,2210.0,25656.0,23467.0
1986.0,3.0,197.0,96.0,2359.0,2159.0,25398.0,23235.0
1986.0,2.0,199.0,90.0,2185.0,1986.0,25179.0,22930.0
1986.0,1.0,118.0,92.0,2174.0,1978.0,24239.0,22013.0
1985.0,12.0,105.0,92.0,2231.0,2045.0,25407.0,23358.0
1985.0,11.0,153.0,88.0,2069.0,1885.0,24597.0,22406.0
1985.0,10.0,191.0,89.0,2127.0,1950.0,24825.0,22666.0
1985.0,9.0,203.0,91.0,2070.0,1907.0,23658.0,21760.0
1985.0,8.0,198.0,91.0,2115.0,1954.0,24183.0,22293.0
1985.0,7.0,174.0,94.0,2130.0,1967.0,23263.0,21496.0
1985.0,6.0,146.0,86.0,2019.0,1863.0,24278.0,22465.0
